id;source;target;label;geom;maj_minor;src
130;584;585;SHANGCAIYI Henan (上蔡驿) - RUYANGYI Henan (汝阳驿);{"type":"MultiLineString","coordinates":[[[114.259353,33.2672390000001],[114.344248503716,33.0048160607228]]]};1;MDYZK
131;585;586;RUYANGYI Henan (汝阳驿) - ZHENYANG Henan (真阳县);{"type":"MultiLineString","coordinates":[[[114.344248503716,33.0048160607228],[114.38121,32.6091190000001]]]};2;MDYZK
132;116;119;DE'ANFU Hubei (德安府) - YUNMENG Hubei (云梦);{"type":"MultiLineString","coordinates":[[[113.686897277832,31.2526092529297],[113.733299255371,31.0200290679932]]]};2;MDYZK
133;119;682;YUNMENG Hubei (云梦) - LIUJIAYI Hubei (刘家驿);{"type":"MultiLineString","coordinates":[[[113.733299255371,31.0200290679932],[113.810852,30.764212]]]};2;MDYZK
134;682;684;LIUJIAYI Hubei (刘家驿) - CAIDIANYI Hubei (蔡店驿);{"type":"MultiLineString","coordinates":[[[113.810852,30.764212],[114.025635,30.580984]]]};1;MDYZK
135;131;684;HANYANGFU Hubei (汉阳府) - CAIDIANYI Hubei (蔡店驿);{"type":"MultiLineString","coordinates":[[[114.025635,30.580984],[114.261924743652,30.5443744659424]]]};1;MDYZK
136;131;135;HANYANGFU Hubei (汉阳府) - WUCHANGFU Hubei (武昌府);{"type":"MultiLineString","coordinates":[[[114.261924743652,30.5443744659424],[114.319190979004,30.5413856506348]]]};1;MDYZK
137;135;692;WUCHANGFU Hubei (武昌府) - DONGHUYI Hubei (东湖驿);{"type":"MultiLineString","coordinates":[[[114.319190979004,30.5413856506348],[114.402428,30.3534050000001]]]};1;MDYZK
138;121;691;FENGSHANYI Hubei (凤山驿) - GUANTANGYI Hubei (官塘驿);{"type":"MultiLineString","coordinates":[[[114.084274,29.8072170000001],[113.874610900879,29.7083530426025]]]};1;MDYZK
139;106;359;LINXIANG Hunan (临湘) - YUNXI Hunan (云谿驿);{"type":"MultiLineString","coordinates":[[[113.292869567871,29.5881385803224],[113.263153000004,29.4730489999962]]]};2;
140;97;99;XIANGTANYI Hunan (湘潭驿) - LINXIANGYI Hunan (临湘驿);{"type":"MultiLineString","coordinates":[[[112.978134155273,28.1981983184814],[112.911262512207,27.8726978302002]]]};1;MDYZK
141;94;695;HUANGBAO Hunan (黄堡驿) - HUANGHUAYI Hunan (皇华驿);{"type":"MultiLineString","coordinates":[[[112.885614598816,27.3825111997162],[112.852416992188,27.2456455230713]]]};1;MDYZK
142;90;94;LINCHENGYI Hunan (临丞驿) - HUANGBAO Hunan (黄堡驿);{"type":"MultiLineString","coordinates":[[[112.852416992188,27.2456455230713],[112.597038269043,26.9016170501709]]]};1;MDYZK
143;79;697;SANWUYI Hunan (三吾驿) - PAISHANYI Hunan (排山驿);{"type":"MultiLineString","coordinates":[[[112.227511,26.7927830000002],[111.855895996094,26.5916919708251]]]};1;MDYZK
144;72;698;LINGLING Hunan (零陵) - SANWUYI Hunan (三吾驿);{"type":"MultiLineString","coordinates":[[[111.584228,26.443543],[111.612564086914,26.2103385925293]]]};1;
145;67;72;CHENGNAN Guangxi (城南驿) - LINGLING Hunan (零陵);{"type":"MultiLineString","coordinates":[[[111.612564086914,26.2103385925293],[111.065002441406,25.9318141937256]]]};1;
146;65;67;BAIYUNYI Guangxi (白云驿) - CHENGNAN Guangxi (城南驿);{"type":"MultiLineString","coordinates":[[[111.065002441406,25.9318141937256],[110.665870666504,25.6131324768066]]]};1;
147;62;65;DALONG Guangxi (大龙驿) - BAIYUNYI Guangxi (白云驿);{"type":"MultiLineString","coordinates":[[[110.665870666504,25.6131324768066],[110.383689880371,25.4632034301758]]]};1;
148;61;62;DONGJIANG Guangxi (东江驿) - DALONG Guangxi (大龙驿);{"type":"MultiLineString","coordinates":[[[110.383689880371,25.4632034301758],[110.286262512207,25.2800598144531]]]};1;
149;111;118;QINGYING Henan (清颖驿) - GUODIAN Henan (郭店驿);{"type":"MultiLineString","coordinates":[[[113.719085693359,34.3973236083984],[113.467056274414,34.1624908447266]]]};1;MDYZK
150;111;112;QINGYING Henan (清颖驿) - XINCHENG Henan (新城驿);{"type":"MultiLineString","coordinates":[[[113.467056274414,34.1624908447266],[113.472366333008,33.8536911010742]]]};1;MDYZK
151;107;112;ZHISHUI Henan (滍水驿) - XINCHENG Henan (新城驿);{"type":"MultiLineString","coordinates":[[[113.472366333008,33.8536911010742],[113.345527648926,33.6233024597168]]]};1;MDYZK
152;100;107;ZHEYANG Henan (赭阳驿) - ZHISHUI Henan (滍水驿);{"type":"MultiLineString","coordinates":[[[113.345527648926,33.6233024597168],[112.99250793457,33.2600784301758]]]};1;
153;92;100;BOWANG Henan (博望驿) - ZHEYANG Henan (赭阳驿);{"type":"MultiLineString","coordinates":[[[112.99250793457,33.2600784301758],[112.711799621582,33.1642913818359]]]};1;MDYZK
154;87;592;TUANYANG Henan (湍阳驿) - LINSHUIYI Henan (林水驿);{"type":"MultiLineString","coordinates":[[[112.511,32.7550000000001],[112.358428955078,32.5248718261719]]]};1;MDYZK
